Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,name_pickup,district_pickup,Pickup Latitude,Pickup Longitude,name_dropoff,district_dropoff,Dropoff Latitude,Dropoff Longitude
266994,Cancelled by client,Cancelled,1,28,0,2024-09-27 05:24:00,2024-09-27 05:48:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Kinding, Bahnhof",Kinding,48.992168,11.377365
251990,Validated,Trip completed,1,67,8,2024-09-27 05:20:00,2024-09-27 05:25:00,Kaldorf,Wiesenhofen,49.048472,11.431715,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
266836,Validated,Trip completed,1,31,8,2024-09-27 05:35:00,2024-09-27 05:43:00,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
255588,Validated,Trip completed,1,1,8,2024-09-27 05:32:00,2024-09-27 05:39:00,"Enkering, Maibaum",Enkering,48.992498,11.363953,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
267522,Validated,Trip completed,1,1,33,2024-09-27 05:52:00,2024-09-27 06:05:00,"Enkering, Maibaum",Enkering,48.992498,11.363953,"Beilngries, Bauhofstraße",Beilngries,49.031608,11.461872
267953,Validated,Trip completed,1,9,19,2024-09-27 06:00:00,2024-09-27 06:07:00,"Unteremmendorf, Wendeschleife",Unteremmendorf,48.992112,11.434157,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
253104,Cancelled by client,Cancelled,1,55,21,2024-09-27 06:01:00,2024-09-27 06:07:00,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793
253575,Validated,Trip completed,1,55,31,2024-09-27 06:00:00,2024-09-27 06:13:00,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885
260046,Validated,Trip completed,1,55,31,2024-09-27 06:00:00,2024-09-27 06:13:00,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,"Beilngries, Eichstaetter Strasse / Tankstelle",Beilngries,49.035227,11.467885
268335,Cancelled by driver,Cancelled,1,24,0,2024-09-27 06:11:00,2024-09-27 06:49:00,"Beilngries, Gartenstraße",Beilngries,49.037288,11.476722,"Kinding, Bahnhof",Kinding,48.992168,11.377365
262022,Cancelled by driver,Cancelled,1,47,4,2024-09-27 06:24:00,2024-09-27 06:48:00,Kirchbuch,Kirchbuch,48.965578,11.50951,"Kinding, Marktplatz",Kinding,49.000562,11.38279
268469,Cancelled by client,Cancelled,1,1,8,2024-09-27 06:24:00,2024-09-27 06:33:00,"Enkering, Maibaum",Enkering,48.992498,11.363953,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
263016,Validated,Trip completed,1,40,0,2024-09-27 06:31:00,2024-09-27 06:48:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268239,Validated,Trip completed,1,11,4,2024-09-27 06:44:00,2024-09-27 06:53:00,"Kratzmuehle, Seerestaurant",Pfraundorf,49.004607,11.447705,"Kinding, Marktplatz",Kinding,49.000562,11.38279
253417,Cancelled by client,Cancelled,2,44,26,2024-09-27 06:50:00,2024-09-27 07:03:00,"Aschbuch, Altenzeller Weg",Aschbuch,48.98216,11.494917,"Beilngries, Kanalsiedlung",Beilngries,49.044913,11.469383
268307,Validated,Trip completed,1,0,8,2024-09-27 06:53:00,2024-09-27 07:00:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
256831,Cancelled by client,Cancelled,1,21,8,2024-09-27 06:59:00,2024-09-27 07:10:00,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
252515,Cancelled by client,Cancelled,1,20,8,2024-09-27 07:00:00,2024-09-27 07:14:00,"Beilngries, ZOB",Beilngries,49.032173,11.476295,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
260302,Validated,Trip completed,2,44,26,2024-09-27 07:09:00,2024-09-27 07:22:00,"Aschbuch, Altenzeller Weg",Aschbuch,48.98216,11.494917,"Beilngries, Kanalsiedlung",Beilngries,49.044913,11.469383
268163,Cancelled by driver,Cancelled,1,40,19,2024-09-27 07:05:00,2024-09-27 07:19:00,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
267966,Validated,Trip completed,1,21,8,2024-09-27 07:10:00,2024-09-27 07:19:00,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
268222,Validated,Trip completed,1,45,0,2024-09-27 07:08:00,2024-09-27 07:43:00,"Aschbuch, Lindenstraße",Aschbuch,48.978988,11.491803,"Kinding, Bahnhof",Kinding,48.992168,11.377365
267834,Validated,Trip completed,1,36,0,2024-09-27 07:30:00,2024-09-27 07:43:00,"Paulushofen, Am Haar",Paulushofen,49.013625,11.502735,"Kinding, Bahnhof",Kinding,48.992168,11.377365
255976,Cancelled by client,Cancelled,1,22,0,2024-09-27 07:26:00,2024-09-27 07:47:00,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268337,Validated,Trip completed,1,4,19,2024-09-27 07:34:00,2024-09-27 07:52:00,"Kinding, Marktplatz",Kinding,49.000562,11.38279,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
264301,Cancelled by client,Cancelled,1,28,64,2024-09-27 07:53:00,2024-09-27 08:07:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142
266049,Validated,Trip completed,1,28,0,2024-09-27 08:00:00,2024-09-27 08:11:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Kinding, Bahnhof",Kinding,48.992168,11.377365
255972,Validated,Trip completed,1,22,0,2024-09-27 07:58:00,2024-09-27 08:11:00,"Beilngries, Kelheimer Straße",Beilngries,49.032928,11.479163,"Kinding, Bahnhof",Kinding,48.992168,11.377365
258692,Cancelled by client,Cancelled,1,23,0,2024-09-27 07:56:00,2024-09-27 08:12:00,"Beilngries, An der Leitn",Beilngries,49.030037,11.484332,"Kinding, Bahnhof",Kinding,48.992168,11.377365
262865,Cancelled by client,Cancelled,1,0,8,2024-09-27 08:18:00,2024-09-27 08:26:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Haunstetten, Gewerbegebiet",Haunstetten,49.017505,11.404733
259296,Validated,Trip completed,1,64,30,2024-09-27 08:10:00,2024-09-27 08:16:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
266139,Validated,Trip completed,1,64,30,2024-09-27 08:10:00,2024-09-27 08:16:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
268237,Cancelled by client,Cancelled,2,0,29,2024-09-27 08:16:00,2024-09-27 08:29:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Rathaus",Beilngries,49.035103,11.474083
268088,Validated,Trip completed,1,38,19,2024-09-27 08:39:00,2024-09-27 08:46:00,"Paulushofen, Dorfstraße",Paulushofen,49.010337,11.502283,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
266524,Validated,Trip completed,5,64,0,2024-09-27 08:41:00,2024-09-27 08:58:00,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268334,Validated,Trip completed,1,21,0,2024-09-27 08:49:00,2024-09-27 09:36:00,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,"Kinding, Bahnhof",Kinding,48.992168,11.377365
267295,Cancelled by driver,Cancelled,1,50,0,2024-09-27 09:01:00,2024-09-27 09:32:00,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,"Kinding, Bahnhof",Kinding,48.992168,11.377365
264859,Validated,Trip completed,4,55,0,2024-09-27 09:09:00,2024-09-27 09:36:00,"Kottingwoerth, Dietfurter Strasse",Kottingwörth,49.019003,11.520783,"Kinding, Bahnhof",Kinding,48.992168,11.377365
267027,Validated,Trip completed,2,19,0,2024-09-27 09:16:00,2024-09-27 09:36:00,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268165,Cancelled by driver,Cancelled,1,19,40,2024-09-27 09:17:00,2024-09-27 09:27:00,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103
